name,lat,lon,source
BARHA,44.4883,-68.32754,faa-nasr
BARKU,60.60489,-9.4101,uk-aip
BARRW,44.72642,-69.76671,faa-nasr
BARYS,41.70986,-71.66864,faa-nasr
BASEZ,42.58927,-71.84334,faa-nasr
BASUU,42.88829,-71.64686,faa-nasr
BAZQE,43.8437,-69.91827,faa-nasr
BBJAN,44.8329,-68.51582,faa-nasr
BBOGG,42.09916,-70.68585,faa-nasr
BCATS,42.49608,-71.84275,faa-nasr
BECHH,42.3369,-70.83791,faa-nasr
BECRA,44.64632,-68.23739,faa-nasr
BEDNY,43.92801,-70.54941,faa-nasr
BEDOW,41.3074,-70.69517,faa-nasr
BEDRA,49.0,-15.0,uk-aip
BEEKN,43.34776,-70.7473,faa-nasr
BEGAS,45.0,-9.0,uk-aip
BEGID,56.5,-14.0,uk-aip
BEGOW,44.51718,-70.45558,faa-nasr
BEHYO,44.54362,-69.16068,faa-nasr
BEJCU,44.79845,-70.00421,faa-nasr
BELZU,54.66111,-6.23,uk-aip
BENJY,44.59534,-69.76554,faa-nasr
BENNN,42.17952,-70.75793,faa-nasr
BENNT,41.23698,-70.66923,faa-nasr
BEPAN,52.52667,-6.26361,ie-aip
BEPAY,41.45323,-70.54346,faa-nasr
BEREI,42.00891,-70.80576,faa-nasr
BERUS,63.0,-63.0,faa-nasr
BERUX,45.0,-11.0,uk-aip
BERVE,44.22652,-70.58995,faa-nasr
BESGA,60.78959,-7.91271,uk-aip
BEVDE,43.7349,-71.95489,faa-nasr
BEVIN,41.64414,-71.33965,faa-nasr
BEXET,54.0,-14.0,ie-aip
BEYDA,43.60944,-70.28863,faa-nasr
BEYEL,41.63972,-71.45154,faa-nasr
BGDIG,42.29401,-70.93392,faa-nasr
BIBLA,51.13583,-8.91,ie-aip
BICMU,46.90745,-67.90406,faa-nasr
BIDDE,43.35227,-70.35318,faa-nasr
BIDGE,44.93192,-69.61187,faa-nasr
BILJE,42.09697,-70.93138,faa-nasr
BILLS,43.62685,-71.87369,faa-nasr
BILLY,60.0196,-8.56896,uk-aip
BILTO,56.5,-15.0,uk-aip
BIMGO,49.5,-14.0,uk-aip
BIPNE,45.14633,-69.9998,faa-nasr
BIROW,47.20412,-68.06379,faa-nasr
BLACA,54.88333,-5.15887,uk-aip
BLAHM,44.42199,-69.00303,faa-nasr
BLEBS,41.69066,-70.94442,faa-nasr
BLENO,42.91528,-71.07871,faa-nasr
BLLAS,45.26491,-68.52944,faa-nasr
BLOKK,41.17606,-71.48066,faa-nasr
BLSSM,43.08081,-71.56631,faa-nasr
BLUUM,43.05077,-71.50414,faa-nasr
BLZZR,42.21733,-71.76016,faa-nasr
BOATE,41.38429,-68.06607,faa-nasr
BOATT,42.34211,-70.7538,faa-nasr
BOATZ,42.1513,-70.55981,faa-nasr
BOBTU,44.11722,-52.82222,faa-nasr
BODYA,42.12165,-71.13221,faa-nasr
BOFUM,53.53722,-5.5,uk-aip
BOGEY,41.71844,-70.19767,faa-nasr
BOGRT,42.23224,-71.51871,faa-nasr
BOHOS,44.82176,-69.6072,faa-nasr
BOKTO,56.96667,-58.0,faa-nasr
BOMLY,41.04034,-70.14303,faa-nasr
BONNI,41.53534,-71.10846,faa-nasr
BORQE,40.99215,-69.60216,faa-nasr
BORUB,52.53917,-63.12333,faa-nasr
BOSOX,42.20189,-71.62768,faa-nasr
BOTTS,43.79612,-70.21739,faa-nasr
BOUSE,45.62589,-70.07189,faa-nasr
BOWDO,44.03159,-69.93781,faa-nasr
BOWLE,41.6111,-70.22015,faa-nasr
BOWST,46.03609,-67.89223,faa-nasr
BOXBU,40.21889,-68.53197,faa-nasr
BOXRS,42.10451,-71.07151,faa-nasr
BOYCC,42.93917,-69.33307,faa-nasr
BOYNE,53.76711,-5.5,uk-aip
BRADD,43.15,-67.0,faa-nasr
BRADI,45.15071,-69.26791,faa-nasr
BRAGA,41.61692,-71.11398,faa-nasr
BRGIT,42.55698,-70.69786,faa-nasr
BRICA,42.71367,-71.11347,faa-nasr
BRKLN,45.95619,-67.93193,faa-nasr
BRLIN,44.63356,-71.1862,faa-nasr
BRNDI,43.706,-70.21959,faa-nasr
BRNNS,43.9024,-69.94522,faa-nasr
BRODI,42.38694,-70.92174,faa-nasr
BRONC,42.51498,-71.72267,faa-nasr
BRRRO,42.33355,-70.80152,faa-nasr
BRSKI,43.59381,-71.17803,faa-nasr
BRUCE,56.2364,-5.84114,uk-aip
BRUNL,42.45538,-70.62759,faa-nasr
BRUWN,41.60269,-70.22939,faa-nasr
BRYSL,42.80501,-71.24532,faa-nasr
BSCOT,45.3338,-68.51893,faa-nasr
BTSEE,43.70026,-70.25926,faa-nasr
BUCYK,42.29336,-70.68376,faa-nasr
BUDAR,50.0,-52.0,faa-nasr
BUDLY,41.58339,-70.60182,faa-nasr
BUKER,44.44337,-71.0948,faa-nasr
BUKRE,44.08796,-70.37246,faa-nasr
BUNED,52.62278,-6.63,ie-aip
BUNON,52.375,-9.54361,ie-aip
BUOYS,41.19429,-70.41826,faa-nasr
BUOYY,42.43484,-70.77352,faa-nasr
BURAC,44.59214,-71.53804,faa-nasr
BURDY,41.95532,-70.95207,faa-nasr
BURRK,41.97727,-70.65566,faa-nasr
BUSKS,44.31211,-70.59545,faa-nasr
BUTRE,41.47532,-70.72411,faa-nasr
BUVKE,41.75678,-70.89902,faa-nasr
BUXTO,43.65992,-70.53777,faa-nasr
BUYLA,41.68926,-70.48787,faa-nasr
BUYRO,45.62704,-70.15863,faa-nasr
BUZRD,41.54608,-70.96408,faa-nasr
BYLND,42.54698,-71.09838,faa-nasr
BYSEA,42.46478,-71.18835,faa-nasr
CABCI,44.82221,-71.71532,faa-nasr
CABEB,44.14974,-70.35121,faa-nasr
CABUL,46.58023,-68.02442,faa-nasr
CACVA,42.39671,-71.36498,faa-nasr
CADAS,42.33483,-71.06766,faa-nasr
CADEG,43.29889,-71.82241,faa-nasr
CADEL,45.56494,-69.69212,faa-nasr
CAGGY,44.25427,-68.60507,faa-nasr
CAGMU,43.95174,-71.0993,faa-nasr
CAKLO,45.15106,-67.24873,faa-nasr
CAKUP,45.62793,-70.22987,faa-nasr
CALED,41.80773,-70.44277,faa-nasr
CALMM,42.35724,-70.55379,faa-nasr
CAMPO,45.44721,-70.34854,faa-nasr
CAMTN,43.88389,-71.65583,faa-nasr
CAMWI,42.51166,-71.15266,faa-nasr
CANAL,42.66903,-70.02271,faa-nasr
CANME,45.48786,-67.62133,faa-nasr
CANZI,51.02258,-6.97001,uk-aip
CAPUK,45.11933,-69.14978,faa-nasr
CARAC,43.0,-60.0,faa-nasr
CARAY,43.11489,-70.85348,faa-nasr
CARDA,44.68109,-68.3435,faa-nasr
CARED,42.9316,-71.18841,faa-nasr
CARMR,43.7987,-69.92582,faa-nasr
CATIE,41.3456,-71.81059,faa-nasr
CATUT,44.50206,-69.03115,faa-nasr
CAVDO,42.05863,-71.20777,faa-nasr
CAVIL,44.99208,-68.60478,faa-nasr
CAXEN,44.37137,-70.70769,faa-nasr
CAXIX,44.93544,-67.06087,faa-nasr
CAYOS,44.98285,-68.11912,faa-nasr
CBEAR,42.25554,-71.16008,faa-nasr
CBIRD,44.84274,-71.10121,faa-nasr
CBURN,44.54273,-69.16357,faa-nasr
CDIHE,42.0,-68.65833,faa-nasr
CDLAC,44.54944,-68.29968,faa-nasr
CDOGG,43.46409,-71.14106,faa-nasr
CEDAP,43.96309,-68.9349,faa-nasr
CEDUX,44.34768,-71.99121,faa-nasr
CEFOU,47.73722,-69.0,faa-nasr
CEGSO,41.64649,-70.68356,faa-nasr
CEKAY,43.02072,-70.42355,faa-nasr
CELAN,42.28326,-71.59444,faa-nasr
CELOV,43.60663,-70.12235,faa-nasr
CELTK,42.2664,-70.10343,faa-nasr
CELTS,42.21308,-70.81458,faa-nasr
CEMKU,43.82508,-70.23441,faa-nasr
CENLA,44.47759,-71.6377,faa-nasr
CEPGU,41.59183,-71.40562,faa-nasr
CEPIG,41.56675,-71.23491,faa-nasr
CEPKO,44.20566,-70.23601,faa-nasr
CEPUL,41.77723,-69.72017,faa-nasr
CEROD,41.32036,-70.14354,faa-nasr
CESGE,47.36661,-68.56334,faa-nasr
CESHL,43.85564,-69.63831,faa-nasr
CESUG,46.83305,-68.32764,faa-nasr
CEYAN,44.81652,-67.51691,faa-nasr
CEZAC,44.00669,-69.44617,faa-nasr
CFBPF,45.01322,-71.51877,faa-nasr
CFCDV,41.8951,-71.28232,faa-nasr
CFCFW,41.76137,-70.12962,faa-nasr
CFCGF,42.57749,-70.92432,faa-nasr
CFCHV,43.02849,-71.39369,faa-nasr
